authors,crawl_time,download_url,keyword,publication,publicationDate,publisher,search,snippet,title
"MD. Zakir Hossain,Ferdous Sohel,Mohd Fairuz Shiratuddin,Hamid Laga",2019-10-15 19:17:52,https://dl.acm.org/ft_gateway.cfm?id=3295748&ftid=2039763&dwn=1,"CNN, Image captioning, LSTM, computer vision, deep learning, natural language processing","ACM Computing Surveys (CSUR): Volume 51 Issue 6, February 2019",May 2008,ACM,51,"Generating a description of an image is called image captioning. Image captioning requires recognizing the important objects, their attributes, and their relationships in an image. It also needs to generate syntactically and semantically correct sentences. Deep-learning-based techniques are capable of handling the complexities and challenges of image captioning. In this ...",A Comprehensive Survey of Deep Learning for Image Captioning
"Bryan Fink,Eric Knauft,Gene Zhang",2019-10-15 19:17:52,https://dl.acm.org/ft_gateway.cfm?id=3139651&ftid=1905476&dwn=1,,"ACM SIGOPS Operating Systems Review - Special Topics: Volume 51 Issue 1, August 2017",May 2008,ACM,51,Hyper-converged storage is the state-of-the-art for enterprise deployments. VMware's vSAN is the industry leader in this space. This article takes a look at some of vSAN's internal architecture and analysis frameworks to illustrate how modern distributed storage is designed and debugged.,vSAN: Modern Distributed Storage
Yakub Sebastian,2019-10-15 19:17:52,https://dl.acm.org/ft_gateway.cfm?id=3130347&ftid=1898459&dwn=1,,"ACM SIGIR Forum: Volume 51 Issue 1, June 2017",May 2008,ACM,51,Literature-based discovery (LBD) research aims at finding effective computational methods for retrieving previously unknown information connections between clusters of research papers from disparate research areas. Existing methods encompass two general approaches. The first approach searches for these unknown connections by examining the textual contents of research papers. In addition to ...,Literature-Based Discovery by Learning Heterogeneous Bibliographic Information Networks
"Michael Biehl,Anarta Ghosh,Barbara Hammer",2019-10-15 19:17:52,https://dl.acm.org/ft_gateway.cfm?id=1248672&ftid=423026&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",May 2008,JMLR.org,51,"Learning vector quantization (LVQ) schemes constitute intuitive, powerful classification heuristics with numerous successful applications but, so far, limited theoretical background. We study LVQ rigorously within a simplifying model situation: two competing prototypes are trained from a sequence of examples drawn from a mixture of Gaussians. Concepts from statistical physics and ...",Dynamics and Generalization Ability of LVQ Algorithms
"Wei Pan,Xiaotong Shen",2019-10-15 19:17:52,https://dl.acm.org/ft_gateway.cfm?id=1248698&ftid=423052&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",May 2008,JMLR.org,51,"Variable selection in clustering analysis is both challenging and important. In the context of model-based clustering analysis with a common diagonal covariance matrix, which is especially suitable for ""high dimension, low sample size"" settings, we propose a penalized likelihood approach with an L 1 penalty function, automatically realizing variable selection ...",Penalized Model-Based Clustering with Application to Variable Selection
Daniel Lichtblau,2019-10-15 19:17:52,https://dl.acm.org/ft_gateway.cfm?id=3151134&ftid=1913728&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 2, June 2017",May 2008,ACM,51,"The East Coast Computer Algebra Day 2017 (ECCAD 2017) was hosted byWolfram Research on Saturday, April 29, 2017.",East coast copmuter algebra day 2017
"Kristen Grauman,Trevor Darrell",2019-10-15 19:17:52,https://dl.acm.org/ft_gateway.cfm?id=1248685&ftid=423039&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",May 2008,JMLR.org,51,"In numerous domains it is useful to represent a single example by the set of the local features or parts that comprise it. However, this representation poses a challenge to many conventional machine learning techniques, since sets may vary in cardinality and elements lack a meaningful ordering. Kernel methods can ...",The Pyramid Match Kernel: Efficient Learning with Sets of Features
"Matteo Turilli,Mark Santcroos,Shantenu Jha",2019-10-15 19:17:53,https://dl.acm.org/ft_gateway.cfm?id=3177851&ftid=1957670&dwn=1,"Distributed applications, Pilot-Jobs, distributed systems","ACM Computing Surveys (CSUR): Volume 51 Issue 2, June 2018",May 2008,ACM,51,"Pilot-Job systems play an important role in supporting distributed scientific computing. They are used to execute millions of jobs on several cyberinfrastructures worldwide, consuming billions of CPU hours a year. With the increasing importance of task-level parallelism in high-performance computing, Pilot-Job systems are also witnessing an adoption beyond traditional domains. ...",A Comprehensive Perspective on Pilot-Job Systems
"Pankaj K. Agarwal,Eran Nevo,János Pach,Rom Pinchasi,Micha Sharir,Shakhar Smorodinsky",2019-10-15 19:17:53,https://dl.acm.org/ft_gateway.cfm?id=972641&ftid=251072&dwn=1,"pseudo-circles, Arrangements, incidence problems","Journal of the ACM (JACM): Volume 51 Issue 2, March 2004",May 2008,ACM,51,A collection of simple closed Jordan curves in the plane is called a family of pseudo-circles if any two of its members intersect at most twice. A closed curve composed of two subarcs of distinct pseudo-circles is said to be an empty lens if the closed Jordan region that it ...,Lenses in arrangements of pseudo-circles and their applications
"Adrienne Decker,Mark Allen Weiss",2019-10-15 19:17:53,https://dl.acm.org/ft_gateway.cfm?id=3310221&ftid=2037844&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 1, January 2019",May 2008,ACM,51,"Following approval by the ACM SIG Governing Board and then the ACM Awards Committee, the SIGCSE Board is pleased to announce the creation of an ACM approved SIG award to commemorate the 50th SIGCSE Technical Symposium to be held in Minneapolis, MN February 27-March 1, 2019.",SIGCSE top ten symposium papers of all time award
Meg McGinity Shannon,2019-10-15 19:17:53,https://dl.acm.org/https://cacm.acm.org/magazines/2008/1/5471/fulltext,,"Communications of the ACM - 50th anniversary issue: 1958 - 2008: Volume 51 Issue 1, January 2008",January 2008,ACM,51,Sampling the various slices of the telecommunications and computing spectrum over the years.,"Happy anniversary, CACM"
"Eugene Siow,Thanassis Tiropanis,Wendy Hall",2019-10-15 19:17:53,https://dl.acm.org/ft_gateway.cfm?id=3204947&ftid=1990467&dwn=1,"Internet of things, big data, cyber-physical networks, data analytics","ACM Computing Surveys (CSUR): Volume 51 Issue 4, September 2018",May 2008,ACM,51,"The Internet of Things (IoT) envisions a world-wide, interconnected network of smart physical entities. These physical entities generate a large amount of data in operation, and as the IoT gains momentum in terms of deployment, the combined scale of those data seems destined to continue to grow. Increasingly, applications for ...",Analytics for the Internet of Things: A Survey
Diane Crawford,2019-10-15 19:17:53,https://dl.acm.org/https://cacm.acm.org/magazines/2008/5/5407/fulltext,,"Communications of the ACM - Web searching in a multilingual world: Volume 51 Issue 5, May 2008",January 2008,ACM,51,,Editorial pointers
"Nolan J. Taylor,Eleanor T. Loiacono,Richard T. Watson",2019-10-15 19:17:53,https://dl.acm.org/https://cacm.acm.org/magazines/2008/2/5452/fulltext,,"Communications of the ACM - Alternate reality gaming: Volume 51 Issue 2, February 2008",May 2008,ACM,51,A test of alternative formats to Web banner ads.,Alternative scenarios to the
Jon Kleinberg,2019-10-15 19:17:54,https://dl.acm.org/https://cacm.acm.org/magazines/2008/11/539/fulltext,,"Communications of the ACM - Remembering Jim Gray: Volume 51 Issue 11, November 2008",January 2008,ACM,51,Internet-based data on human interaction connects scientific inquiry like never before.,The convergence of social and technological networks
Scott E. Delman,2019-10-15 19:17:54,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/4100/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",January 2008,ACM,51,,Looking back and forward
"Arik Ragowsky,Paul S. Licker,David Gefen",2019-10-15 19:17:54,https://dl.acm.org/https://cacm.acm.org/magazines/2008/6/5391/fulltext,,"Communications of the ACM - Organic user interfaces: Volume 51 Issue 6, June 2008",January 2008,ACM,51,"Don't confuse technology with business solutions, focusing instead on what users value most---information.","Give me information, not technology"
"David L. Dill,Daniel Castro",2019-10-15 19:17:54,https://dl.acm.org/https://cacm.acm.org/magazines/2008/10/507/fulltext,,"Communications of the ACM: Volume 51 Issue 10, October 2008",October 2008,ACM,51,Debating the public policy issues involved in proposed efforts toward improving voting systems while considering the range of technical and societal challenges.,Point/counterpoint: The U.S. should ban paperless electronic voting machines
Mache Creeger,2019-10-15 19:17:54,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/3349/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",January 2008,ACM,51,"When it comes to virtualization platforms, experts say focus first on the services to be delivered.",CTO Roundtable: Virtualization Part II
Leah Hoffman,2019-10-15 19:17:54,https://dl.acm.org/https://cacm.acm.org/magazines/2008/7/5364/fulltext,,"Communications of the ACM - Web science: Volume 51 Issue 7, July 2008",October 2008,ACM,51,How can software and hardware developers increase the reliability of their designs?,In search of dependable design
Phillip G. Armour,2019-10-15 19:17:54,https://dl.acm.org/https://cacm.acm.org/magazines/2008/3/20721/fulltext,,"Communications of the ACM - Urban sensing: out of the woods: Volume 51 Issue 3, March 2008",January 2008,ACM,51,Some thoughts on the accuracy of estimates.,The inaccurate conception
Jon Kleinberg,2019-10-15 19:17:55,https://dl.acm.org/https://cacm.acm.org/magazines/2008/11/539/fulltext,,"Communications of the ACM - Remembering Jim Gray: Volume 51 Issue 11, November 2008",October 2008,ACM,51,Internet-based data on human interaction connects scientific inquiry like never before.,The convergence of social and technological networks
"Cheng-Chun Tu,Joe Stringer,Justin Pettit",2019-10-15 19:17:55,https://dl.acm.org/ft_gateway.cfm?id=3139657&ftid=1905479&dwn=1,,"ACM SIGOPS Operating Systems Review - Special Topics: Volume 51 Issue 1, August 2017",October 2008,ACM,51,"The virtual switch is the cornerstone of the today's virtualized data center. As all traffic to and from virtual machines or containers must pass through a vSwitch, it is the ideal location for network configuration and policy enforcement. The bulk of Open vSwitch functionality is platform-agnostic and portable. However the ...",Building an Extensible Open vSwitch Datapath
"Yike Liu,Tara Safavi,Abhilash Dighe,Danai Koutra",2019-10-15 19:17:55,https://dl.acm.org/ft_gateway.cfm?id=3186727&ftid=1981908&dwn=1,"Graph mining, graph summarization","ACM Computing Surveys (CSUR): Volume 51 Issue 3, July 2018",January 2008,ACM,51,"While advances in computing resources have made processing enormous amounts of data possible, human ability to identify patterns in such data has not scaled accordingly. Efficient computational methods for condensing and simplifying data are thus becoming vital for extracting actionable insights. In particular, while data summarization techniques have been studied ...",Graph Summarization Methods and Applications: A Survey
Phillip G. Armour,2019-10-15 19:17:55,https://dl.acm.org/https://cacm.acm.org/magazines/2008/3/20721/fulltext,,"Communications of the ACM - Urban sensing: out of the woods: Volume 51 Issue 3, March 2008",October 2008,ACM,51,Some thoughts on the accuracy of estimates.,The inaccurate conception
Pascal Meunier,2019-10-15 19:17:55,https://dl.acm.org/https://cacm.acm.org/magazines/2008/2/5463/fulltext,,"Communications of the ACM - Alternate reality gaming: Volume 51 Issue 2, February 2008",January 2008,ACM,51,,Software transparency and purity
Ross A. Malaga,2019-10-15 19:17:55,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/4110/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",December 2008,ACM,51,,Worst practices in search engine optimization
Meg McGinity Shannon,2019-10-15 19:17:56,https://dl.acm.org/https://cacm.acm.org/magazines/2008/1/5471/fulltext,,"Communications of the ACM - 50th anniversary issue: 1958 - 2008: Volume 51 Issue 1, January 2008",October 2008,ACM,51,Sampling the various slices of the telecommunications and computing spectrum over the years.,"Happy anniversary, CACM"
"Munir Mandviwalla,Abhijit Jain,Julie Fesenmaier,Jeff Smith,Paul Weinberg,Greg Meyers",2019-10-15 19:17:56,https://dl.acm.org/https://cacm.acm.org/magazines/2008/2/5455/fulltext,,"Communications of the ACM - Alternate reality gaming: Volume 51 Issue 2, February 2008",January 2008,ACM,51,"""...people lack many things: jobs, shelter, food, health care and drinkable water. Today, being cut off from basic telecommunications services is a hardship almost as acute as these other deprivations, and may indeed reduce the chances of finding remedies to them."" ---UN Secretary General, Kofi Annan, in a keynote address ...",Municipal broadband wireless networks
"Alexandra Covaci,Longhao Zou,Irina Tal,Gabriel-Miro Muntean,Gheorghita Ghinea",2019-10-15 19:17:56,https://dl.acm.org/ft_gateway.cfm?id=3233774&ftid=2003061&dwn=1,"Mulsemedia, cross-modal, multimedia, multisensory, quality of experience","ACM Computing Surveys (CSUR): Volume 51 Issue 5, January 2019",December 2008,ACM,51,"Mulsemedia—multiple sensorial media—makes possible the inclusion of layered sensory stimulation and interaction through multiple sensory channels. The recent upsurge in technology and wearables provides mulsemedia researchers a vehicle for potentially boundless choice. However, in order to build systems that integrate various senses, there are still some issues that need to ...",Is Multimedia Multisensorial? - A Review of Mulsemedia Systems
"Tsong Yueh Chen,Fei-Ching Kuo,Huai Liu,Pak-Lok Poon,Dave Towey,T. H. Tse,Zhi Quan Zhou",2019-10-15 19:17:56,https://dl.acm.org/ft_gateway.cfm?id=3143561&ftid=1937769&dwn=1,"Metamorphic testing, metamorphic relation, oracle problem, test case generation","ACM Computing Surveys (CSUR): Volume 51 Issue 1, April 2018",January 2008,ACM,51,"Metamorphic testing is an approach to both test case generation and test result verification. A central element is a set of metamorphic relations, which are necessary properties of the target function or algorithm in relation to multiple inputs and their expected outputs. Since its first publication, we have witnessed a ...",Metamorphic Testing: A Review of Challenges and Opportunities
"Munir Mandviwalla,Abhijit Jain,Julie Fesenmaier,Jeff Smith,Paul Weinberg,Greg Meyers",2019-10-15 19:17:56,https://dl.acm.org/https://cacm.acm.org/magazines/2008/2/5455/fulltext,,"Communications of the ACM - Alternate reality gaming: Volume 51 Issue 2, February 2008",October 2008,ACM,51,"""...people lack many things: jobs, shelter, food, health care and drinkable water. Today, being cut off from basic telecommunications services is a hardship almost as acute as these other deprivations, and may indeed reduce the chances of finding remedies to them."" ---UN Secretary General, Kofi Annan, in a keynote address ...",Municipal broadband wireless networks
Pascal Meunier,2019-10-15 19:17:57,https://dl.acm.org/https://cacm.acm.org/magazines/2008/2/5463/fulltext,,"Communications of the ACM - Alternate reality gaming: Volume 51 Issue 2, February 2008",October 2008,ACM,51,,Software transparency and purity
Ross A. Malaga,2019-10-15 19:17:57,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/4110/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",January 2008,ACM,51,,Worst practices in search engine optimization
"Michael Monagan,Alan Wong",2019-10-15 19:17:57,https://dl.acm.org/ft_gateway.cfm?id=3096732&ftid=1874347&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 1, March 2017",December 2008,ACM,51,"In [3] the following polynomial evaluation problem arises. Let A be a sparse polynomial with s terms in Z p [ x 0 ,x 1 ,...,x n ]. Suppose we seek evaluations of A into t bivariate images in Z p [ x 0 ,x 1 ], for some t ...",Fast parallel multi-point evaluation of sparse polynomials
"Tsong Yueh Chen,Fei-Ching Kuo,Huai Liu,Pak-Lok Poon,Dave Towey,T. H. Tse,Zhi Quan Zhou",2019-10-15 19:17:57,https://dl.acm.org/ft_gateway.cfm?id=3143561&ftid=1937769&dwn=1,"Metamorphic testing, metamorphic relation, oracle problem, test case generation","ACM Computing Surveys (CSUR): Volume 51 Issue 1, April 2018",October 2008,ACM,51,"Metamorphic testing is an approach to both test case generation and test result verification. A central element is a set of metamorphic relations, which are necessary properties of the target function or algorithm in relation to multiple inputs and their expected outputs. Since its first publication, we have witnessed a ...",Metamorphic Testing: A Review of Challenges and Opportunities
"Alexandra Covaci,Longhao Zou,Irina Tal,Gabriel-Miro Muntean,Gheorghita Ghinea",2019-10-15 19:17:57,https://dl.acm.org/ft_gateway.cfm?id=3233774&ftid=2003061&dwn=1,"Mulsemedia, cross-modal, multimedia, multisensory, quality of experience","ACM Computing Surveys (CSUR): Volume 51 Issue 5, January 2019",January 2008,ACM,51,"Mulsemedia—multiple sensorial media—makes possible the inclusion of layered sensory stimulation and interaction through multiple sensory channels. The recent upsurge in technology and wearables provides mulsemedia researchers a vehicle for potentially boundless choice. However, in order to build systems that integrate various senses, there are still some issues that need to ...",Is Multimedia Multisensorial? - A Review of Mulsemedia Systems
"Rui-Juan Jing,Marc Moreno Maza",2019-10-15 19:17:57,https://dl.acm.org/ft_gateway.cfm?id=3177798&ftid=1937806&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 3, September 2017",July 2006,ACM,51,"The Polyhedra library is dedicated to solving problems dealing with the integer points of polyhedral sets. Such problems include decomposing the integer points of such sets, solving parametric integer programs, performing dependence analysis in for-loop nests and determining the validity of certain Presburger formulas.",The polyhedra library in m
"Peter L. Bartlett,Ambuj Tewari",2019-10-15 19:17:57,https://dl.acm.org/ft_gateway.cfm?id=1248687&ftid=423041&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",December 2008,JMLR.org,51,"One of the nice properties of kernel classifiers such as SVMs is that they often produce sparse solutions. However, the decision functions of these classifiers cannot always be used to estimate the conditional probability of the class label. We investigate the relationship between these two properties and show that these ...",Sparseness vs Estimating Conditional Probabilities: Some Asymptotic Results
,2019-10-15 19:17:58,https://dl.acm.org/ft_gateway.cfm?id=3200142&ftid=1953858&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 4, December 2017",July 2006,ACM,51,Prof. Dongming Wang was elected as a Member of the Academia Europaea in 2017.,Dongming Wang elected member of the Academia Europaea
"Jean-Yves Audibert,Olivier Bousquet",2019-10-15 19:17:58,https://dl.acm.org/ft_gateway.cfm?id=1248691&ftid=423045&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",December 2008,JMLR.org,51,"There exist many different generalization error bounds in statistical learning theory. Each of these bounds contains an improvement over the others for certain situations or algorithms. Our goal is, first, to underline the links between these bounds, and second, to combine the different improvements into a single bound. In particular ...",Combining PAC-Bayesian and Generic Chaining Bounds
Ross A. Malaga,2019-10-15 19:17:58,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/4110/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",October 2008,ACM,51,,Worst practices in search engine optimization
Nikolaj Tatti,2019-10-15 19:17:58,https://dl.acm.org/ft_gateway.cfm?id=1248664&ftid=423018&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",July 2006,JMLR.org,51,The concepts of similarity and distance are crucial in data mining. We consider the problem of defining the distance between two data sets by comparing summary statistics computed from the data sets. The initial definition of our distance is based on geometrical notions of certain sets of distributions. We show ...,Distances between Data Sets Based on Summary Statistics
"Juan D. Velez,Juan P. Hernandez,Carlos A. Cadavid",2019-10-15 19:17:58,https://dl.acm.org/ft_gateway.cfm?id=3151132&ftid=1913731&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 2, June 2017",December 2008,ACM,51,"A method for computing limits of quotients of real analytic functions in two variables was developed in [4]. In this article we generalize the results obtained in that paper to the case of quotients q = f ( x, y, z )/ g ( x, y, z ) of polynomial ...",Limits of quotients of polynomial functions in three variables
"Yike Liu,Tara Safavi,Abhilash Dighe,Danai Koutra",2019-10-15 19:17:58,https://dl.acm.org/ft_gateway.cfm?id=3186727&ftid=1981908&dwn=1,"Graph mining, graph summarization","ACM Computing Surveys (CSUR): Volume 51 Issue 3, July 2018",October 2008,ACM,51,"While advances in computing resources have made processing enormous amounts of data possible, human ability to identify patterns in such data has not scaled accordingly. Efficient computational methods for condensing and simplifying data are thus becoming vital for extracting actionable insights. In particular, while data summarization techniques have been studied ...",Graph Summarization Methods and Applications: A Survey
"Robert C. Steinke,Gary J. Nutt",2019-10-15 19:17:58,https://dl.acm.org/ft_gateway.cfm?id=1017464&ftid=274348&dwn=1,"Distributed shared memory systems, memory consistency model lattice, memory consistency models","Journal of the ACM (JACM): Volume 51 Issue 5, September 2004",July 2006,ACM,51,"The traditional assumption about memory is that a read returns the value written by the most recent write. However, in a shared memory multiprocessor several processes independently and simultaneously submit reads and writes resulting in a partial order of memory operations. In this partial order, the definition of most recent ...",A unified theory of shared memory consistency
"Gerome Miklau,Dan Suciu",2019-10-15 19:17:59,https://dl.acm.org/ft_gateway.cfm?id=962448&ftid=237928&dwn=1,"query containment, XPath expressions, Tree pattern matching, query equivalence","Journal of the ACM (JACM): Volume 51 Issue 1, January 2004",December 2008,ACM,51,"XPath is a language for navigating an XML document and selecting a set of element nodes. XPath expressions are used to query XML data, describe key constraints, express transformations, and reference elements in remote documents. This article studies the containment and equivalence problems for a fragment of the XPath query ...",Containment and equivalence for a fragment of XPath
"Esha Choukse,Mattan Erez,Alaa R. Alameldeen",2019-10-15 19:17:59,https://dl.acm.org/ft_gateway.cfm?id=3343311&ftid=2069682&dwn=1,,MICRO-51: Proceedings of the 51st Annual IEEE/ACM International Symposium on Microarchitecture,October 2018,IEEE Press,51,"Today, larger memory capacity and higher memory bandwidth are required for better performance and energy efficiency for many important client and datacenter applications. Hardware memory compression provides a promising direction to achieve this without increasing system cost. Unfortunately, current memory compression solutions face two significant challenges. First, keeping memory compressed ...",Compresso: pragmatic main memory compression
Adrienne Decker,2019-10-15 19:17:59,https://dl.acm.org/ft_gateway.cfm?id=3329112&ftid=2053191&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 2, April 2019",July 2006,ACM,51,"The SIGCSE Board created the SIGCSE Top Ten Symposium Papers of all Time Award to commemorate the 50th SIGCSE Technical Symposium held in Minneapolis, MN February 27-March 2, 2019. This award was created to recognize the outstanding papers published in the first 49 proceedings of the Annual ACM Technical Symposium ...",SIGCSE top ten symposium papers of all time award winners
Yusuf Baris Tuncer,2019-10-15 19:17:59,https://dl.acm.org/ft_gateway.cfm?id=3177802&ftid=1937809&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 3, September 2017",December 2008,ACM,51,"Each quarter we are pleased to present abstracts of recent doctoral dissertations in Computer Algebra and Symbolic Computation. We encourage all recent Ph.D. graduates who have defended in the past two years (and their supervisors), to submit their abstracts for publication in CCA. Please send abstracts to the CCA editors ...",Abstracts of recent doctoral dissertations in computer algebra
"Alexandra Covaci,Longhao Zou,Irina Tal,Gabriel-Miro Muntean,Gheorghita Ghinea",2019-10-15 19:17:59,https://dl.acm.org/ft_gateway.cfm?id=3233774&ftid=2003061&dwn=1,"Mulsemedia, cross-modal, multimedia, multisensory, quality of experience","ACM Computing Surveys (CSUR): Volume 51 Issue 5, January 2019",October 2008,ACM,51,"Mulsemedia—multiple sensorial media—makes possible the inclusion of layered sensory stimulation and interaction through multiple sensory channels. The recent upsurge in technology and wearables provides mulsemedia researchers a vehicle for potentially boundless choice. However, in order to build systems that integrate various senses, there are still some issues that need to ...",Is Multimedia Multisensorial? - A Review of Mulsemedia Systems
"Markus Kalisch,Peter Bühlmann",2019-10-15 19:17:59,https://dl.acm.org/ft_gateway.cfm?id=1248681&ftid=423035&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",July 2006,JMLR.org,51,"We consider the PC-algorithm (Spirtes et al., 2000) for estimating the skeleton and equivalence class of a very high-dimensional directed acyclic graph (DAG) with corresponding Gaussian distribution. The PC-algorithm is computationally feasible and often very fast for sparse problems with many nodes (variables), and it has the attractive property to ...",Estimating High-Dimensional Directed Acyclic Graphs with the PC-Algorithm
"David Kempe,Jon Kleinberg,Alan Demers",2019-10-15 19:17:59,https://dl.acm.org/ft_gateway.cfm?id=1039491&ftid=297440&dwn=1,"Gossip, decentralized algorithm, resource location","Journal of the ACM (JACM): Volume 51 Issue 6, November 2004",December 2008,ACM,51,"The dynamic behavior of a network in which information is changing continuously over time requires robust and efficient mechanisms for keeping nodes updated about new information. Gossip protocols are mechanisms for this task in which nodes communicate with one another according to some underlying deterministic or randomized algorithm, exchanging information ...",Spatial gossip and resource location protocols
"Qingrui Liu,Joseph Lzraelevitz,Se Kwon Lee,Michael L. Scott,Sam H. Noh,Changhee Jung",2019-10-15 19:18:00,https://dl.acm.org/ft_gateway.cfm?id=3343284&ftid=2069644&dwn=1,,MICRO-51: Proceedings of the 51st Annual IEEE/ACM International Symposium on Microarchitecture,October 2018,IEEE Press,51,"This paper presents iDO , a compiler-directed approach to failure atomicity with nonvolatile memory. Unlike most prior work, which instruments each store of persistent data for redo or undo logging, the iDO compiler identifies idempotent instruction sequences, whose re-execution is guaranteed to be side-effect-free, thereby eliminating the need to log ...",iDO: compiler-directed failure atomicity for nonvolatile memory
